courseId,heroTitle,heroDesc,bullet1,bullet2,bullet3,bullet4
shp,Sexual Harassment Prevention,"Short videos pulled directly from the training. Get a real feel for the tone, pacing, humor, and clarity ",Clear guidance for real workplace situations,Light humor lowers defensiveness and helps the message land,Designed for both employees and managers,Compliance training that's grounded and memorable.
ta,Threat Assessment,See how our course helps you build a safety culture through care and action.,Scenario-based not lecture-based,Builds confidence to speak up without overreacting,Designed for real workplace and campus dynamics,
