quote,name,title,org,photo
It is truly a joy partnering with you!,Monica Marcelo,Director of Threat Assessment,University of Illinois–Urbana,
"Blue Seat Studios has been an exceptional partner... They tackle complex, sensitive topics with care and creativity, adding humor and relatable themes that resonate with youth.",Amanda Ruzicka MA,Deputy Director MOORE,Johns Hopkins Bloomberg School of Public Health,
Very needed.,Anita Bruno,Construction Workforce Compliance Strategist,Public Works MBE/WBE Retention Systems,
"Very well-made, and the animation style and imagery are perfectly suitable for a K-12 environment across all grade levels.",Tricia Hoeg,Director Threat & Crisis Response,Clark County School District,
